Task,Method,SelectedPanelSize,MeanJaccard,SDJaccard,Pairs,EvidenceLevel
FPG,LLSS,3,0.7321428571428571,0.25393725009168505,28,selection stability conditional on the inner-selected panel size
FPG,LLSS,5,0.7066584209441352,0.15366544518340844,231,selection stability conditional on the inner-selected panel size
FPG,LLSS,10,0.772804544286487,0.11752117428068484,24090,selection stability conditional on the inner-selected panel size
FPG,Lasso,3,0.6875,0.2429563289518875,136,selection stability conditional on the inner-selected panel size
FPG,Lasso,5,0.5354790137398834,0.16794553951980404,253,selection stability conditional on the inner-selected panel size
FPG,Lasso,10,0.6706204101966236,0.12821391477570374,21945,selection stability conditional on the inner-selected panel size
FPG,LongGroupLasso,3,0.906896551724138,0.1948608764303322,435,selection stability conditional on the inner-selected panel size
FPG,LongGroupLasso,5,0.8008440166673325,0.1709833793022643,10731,selection stability conditional on the inner-selected panel size
FPG,LongGroupLasso,10,0.7204972855657787,0.11560364869198904,2628,selection stability conditional on the inner-selected panel size
FPG,MutualInfo,3,0.9629629629629629,0.13113263207824052,351,selection stability conditional on the inner-selected panel size
FPG,MutualInfo,5,0.6916264090177133,0.17960095066193918,1035,selection stability conditional on the inner-selected panel size
FPG,MutualInfo,10,0.5294335424286479,0.11552088160547505,15576,selection stability conditional on the inner-selected panel size
FPG,OutcomeSNN-FS,3,0.782608695652174,0.24831447612127533,276,selection stability conditional on the inner-selected panel size
FPG,OutcomeSNN-FS,5,0.6413165266106443,0.16337527065244636,595,selection stability conditional on the inner-selected panel size
FPG,OutcomeSNN-FS,10,0.6795944204596727,0.1289537779156993,18145,selection stability conditional on the inner-selected panel size
FPG,PGEE,3,0.8766233766233766,0.21602904629346,231,selection stability conditional on the inner-selected panel size
FPG,PGEE,5,0.6988998497949905,0.21264324179475472,2346,selection stability conditional on the inner-selected panel size
FPG,PGEE,10,0.6295158282261221,0.13445983661010372,12561,selection stability conditional on the inner-selected panel size
FPG,RandomForest,3,0.7745098039215687,0.24961270309819497,153,selection stability conditional on the inner-selected panel size
FPG,RandomForest,5,0.7720405431248805,0.18103266478794672,3486,selection stability conditional on the inner-selected panel size
FPG,RandomForest,10,0.6696279451381493,0.11273359505724018,10878,selection stability conditional on the inner-selected panel size
FPG,SNN-FS,3,0.6658730158730158,0.23560722158648711,630,selection stability conditional on the inner-selected panel size
FPG,SNN-FS,5,0.6249279953917051,0.1737121283969534,496,selection stability conditional on the inner-selected panel size
FPG,SNN-FS,10,0.6668093356060085,0.12248472978401818,16471,selection stability conditional on the inner-selected panel size
FPG,StabilitySelection,3,0.4833333333333334,0.2926886855802025,6,selection stability conditional on the inner-selected panel size
FPG,StabilitySelection,5,0.5379081512802444,0.19268761626083278,946,selection stability conditional on the inner-selected panel size
FPG,StabilitySelection,10,0.5228619353459625,0.12968160183736424,20301,selection stability conditional on the inner-selected panel size
FPG,Stabl-RP,3,0.9166666666666666,0.1877669040497027,66,selection stability conditional on the inner-selected panel size
FPG,Stabl-RP,5,0.6022256728778468,0.15345084537982534,276,selection stability conditional on the inner-selected panel size
FPG,Stabl-RP,10,0.8216618623358126,0.11864834481604856,22791,selection stability conditional on the inner-selected panel size
FPG,geeVerse,3,,,0,selection stability conditional on the inner-selected panel size
FPG,geeVerse,5,0.14351851851851852,0.12349922110349006,6,selection stability conditional on the inner-selected panel size
FPG,geeVerse,10,0.302571341378728,0.15863166063583686,29890,selection stability conditional on the inner-selected panel size
FPG,glmmLasso,3,1.0,0.0,1176,selection stability conditional on the inner-selected panel size
FPG,glmmLasso,5,0.7669087974172719,0.16822909975882097,1770,selection stability conditional on the inner-selected panel size
FPG,glmmLasso,10,0.7477873021945971,0.11051979469209164,9870,selection stability conditional on the inner-selected panel size
FPG,mRMR,3,0.5998217468805704,0.2000445583162485,561,selection stability conditional on the inner-selected panel size
FPG,mRMR,5,0.43275220535975584,0.1825961138246117,2278,selection stability conditional on the inner-selected panel size
FPG,mRMR,10,0.38869490775253085,0.14964792243845992,10878,selection stability conditional on the inner-selected panel size
FPG_KARE,Boruta,3,0.7286057692307693,0.2491427888975101,2080,selection stability conditional on the inner-selected panel size
FPG_KARE,Boruta,5,0.6184893731503902,0.1609764929953063,1770,selection stability conditional on the inner-selected panel size
