Task,TaskType,Method,SelectedPanelSize,Metric,Mean,SD,OuterFolds,EvidenceLevel
BRIST1D,regression,geeVerse,5,RMSE,1.6871927647680254,0.3858397159411642,42,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,geeVerse,10,RMSE,1.7736631886816556,0.4129977531936282,68,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,glmmLasso,3,RMSE,1.7668946254845508,0.4538705334177883,118,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,glmmLasso,5,RMSE,1.8911567866015744,0.45580898906930667,50,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,glmmLasso,10,RMSE,1.7274569118087122,0.35525671647439827,82,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,mRMR,3,RMSE,1.8129359656722548,0.4707408539744781,115,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,mRMR,5,RMSE,1.7202046152724582,0.3938531227285456,73,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
BRIST1D,regression,mRMR,10,RMSE,1.7667832996639865,0.31748201158947265,62,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Boruta,3,RMSE,27.72402559304391,2.0263973178879184,21,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Boruta,5,RMSE,28.034862933701906,1.9562727272910292,55,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Boruta,10,RMSE,27.561792923382,2.043066792159436,174,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,ElasticNet,3,RMSE,28.45065804759088,2.4568475098927047,28,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,ElasticNet,5,RMSE,27.74562170558374,2.0501913546838275,29,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,ElasticNet,10,RMSE,27.587189750207433,1.9873617286248568,193,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LLSS,3,RMSE,28.224327924972854,1.8092093999399013,8,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LLSS,5,RMSE,28.00289311399723,2.1915961587624277,22,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LLSS,10,RMSE,27.47552349034515,2.0030106696928094,220,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Lasso,3,RMSE,28.209869049012507,2.443798211945612,17,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Lasso,5,RMSE,28.751504713675295,2.2123200438002324,23,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,Lasso,10,RMSE,27.673254063297247,2.0176281322884644,210,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LongGroupLasso,3,RMSE,27.998151742795056,1.9830975292299857,30,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LongGroupLasso,5,RMSE,27.41883608854523,1.9036996703273017,147,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,LongGroupLasso,10,RMSE,27.84306409979757,2.1321101970639185,73,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG,regression,MutualInfo,3,RMSE,27.498336071877333,1.9349239182757585,27,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
