Task,Cohort,TaskType,Method,MeanRank,SDRank,WinRate,Repeats
GSE48023_H1N1,GSE48023,regression,ElasticNet,9.12,3.3541932330886897,0.02,50
GSE48023_H1N1,GSE48023,regression,LLSS,3.8,2.2131333406899523,0.1,50
GSE48023_H1N1,GSE48023,regression,Lasso,11.54,3.144220483518863,0.0,50
GSE48023_H1N1,GSE48023,regression,LongGroupLasso,9.78,3.370278254121472,0.02,50
GSE48023_H1N1,GSE48023,regression,MutualInfo,6.88,4.0185285153363575,0.1,50
GSE48023_H1N1,GSE48023,regression,OutcomeSNN-FS,9.68,3.6946734963861094,0.02,50
GSE48023_H1N1,GSE48023,regression,PGEE,6.6,3.4404555939406554,0.04,50
GSE48023_H1N1,GSE48023,regression,RandomForest,11.32,2.9098004700512035,0.0,50
GSE48023_H1N1,GSE48023,regression,SNN-FS,10.76,3.2922915535337065,0.0,50
GSE48023_H1N1,GSE48023,regression,StabilitySelection,11.0,3.4226138716316967,0.02,50
GSE48023_H1N1,GSE48023,regression,Stabl-RP,3.3,2.5813301427989503,0.32,50
GSE48023_H1N1,GSE48023,regression,geeVerse,2.96,1.9687352202231103,0.24,50
GSE48023_H1N1,GSE48023,regression,glmmLasso,7.36,3.1217472867688985,0.04,50
GSE48023_H1N1,GSE48023,regression,mRMR,5.42,3.670566880536274,0.08,50
IGG,Korea COVID-19,regression,Boruta,8.48,3.9498902077223903,0.04,50
IGG,Korea COVID-19,regression,ElasticNet,10.74,3.607305512598634,0.0,50
IGG,Korea COVID-19,regression,LLSS,9.08,3.294026752304535,0.0,50
IGG,Korea COVID-19,regression,Lasso,7.34,4.1483215194306515,0.06,50
IGG,Korea COVID-19,regression,LongGroupLasso,7.44,3.417601498127013,0.0,50
IGG,Korea COVID-19,regression,MutualInfo,11.4,3.614031611621005,0.02,50
IGG,Korea COVID-19,regression,OutcomeSNN-FS,2.16,1.6946494430099333,0.52,50
IGG,Korea COVID-19,regression,PGEE,3.64,2.981302276741847,0.18,50
IGG,Korea COVID-19,regression,RandomForest,8.08,3.778780712540672,0.02,50
IGG,Korea COVID-19,regression,SNN-FS,7.58,4.1800790930902005,0.06,50
IGG,Korea COVID-19,regression,StabilitySelection,8.1,3.7430207161639717,0.02,50
IGG,Korea COVID-19,regression,Stabl-RP,8.54,2.8371442957844146,0.0,50
IGG,Korea COVID-19,regression,geeVerse,13.14,2.4412275266215344,0.0,50
IGG,Korea COVID-19,regression,glmmLasso,5.12,3.0145226717965663,0.08,50
IGG,Korea COVID-19,regression,mRMR,9.16,3.2473537107079937,0.0,50
IGM,Korea COVID-19,regression,Boruta,11.14,3.3503578852390787,0.0,50
IGM,Korea COVID-19,regression,ElasticNet,8.96,3.8964138404854443,0.04,50
IGM,Korea COVID-19,regression,LLSS,9.42,2.9903927801531087,0.0,50
IGM,Korea COVID-19,regression,Lasso,6.96,2.649297172875116,0.0,50
IGM,Korea COVID-19,regression,LongGroupLasso,4.68,2.428067174540612,0.06,50
IGM,Korea COVID-19,regression,MutualInfo,11.62,2.617757257887845,0.0,50
IGM,Korea COVID-19,regression,OutcomeSNN-FS,3.92,2.5780866184527036,0.22,50
IGM,Korea COVID-19,regression,PGEE,4.08,3.24408409765423,0.2,50
