Task,Cohort,TaskType,Method,PerformanceMean,TaskRank
GSE48023_H1N1,GSE48023,regression,mRMR,1.3830923222107814,4.0
IGG,Korea COVID-19,regression,Boruta,0.7754595342396484,5.0
IGG,Korea COVID-19,regression,ElasticNet,0.7796363770705225,11.0
IGG,Korea COVID-19,regression,LLSS,0.7773839723296585,10.0
IGG,Korea COVID-19,regression,Lasso,0.774137792033223,2.0
IGG,Korea COVID-19,regression,LongGroupLasso,0.774467159168368,4.0
IGG,Korea COVID-19,regression,MutualInfo,0.7811236217629287,12.0
IGG,Korea COVID-19,regression,OutcomeSNN-FS,0.7620962533632378,1.0
IGG,Korea COVID-19,regression,RandomForest,0.7754677159596797,6.0
IGG,Korea COVID-19,regression,SNN-FS,0.7743886318877091,3.0
IGG,Korea COVID-19,regression,StabilitySelection,0.7755789608025245,7.0
IGG,Korea COVID-19,regression,Stabl-RP,0.7769432314932151,8.0
IGG,Korea COVID-19,regression,geeVerse,0.7853231840457223,13.0
IGG,Korea COVID-19,regression,mRMR,0.7770533149348102,9.0
IGM,Korea COVID-19,regression,Boruta,1.0701868658552425,10.0
IGM,Korea COVID-19,regression,ElasticNet,1.0604267665459632,7.0
IGM,Korea COVID-19,regression,LLSS,1.0628150454338712,9.0
IGM,Korea COVID-19,regression,Lasso,1.0553505518013444,4.0
IGM,Korea COVID-19,regression,LongGroupLasso,1.0492566976293884,3.0
IGM,Korea COVID-19,regression,MutualInfo,1.071080654199437,11.0
IGM,Korea COVID-19,regression,OutcomeSNN-FS,1.0465970270884206,1.0
IGM,Korea COVID-19,regression,RandomForest,1.0728214767361857,12.0
IGM,Korea COVID-19,regression,SNN-FS,1.0574246382190529,5.0
IGM,Korea COVID-19,regression,StabilitySelection,1.0612733587083003,8.0
IGM,Korea COVID-19,regression,Stabl-RP,1.0485119835408971,2.0
IGM,Korea COVID-19,regression,geeVerse,1.0794148717071357,13.0
IGM,Korea COVID-19,regression,mRMR,1.0603912635624284,6.0
KARE_STATUS,Korea KARE,regression,Boruta,0.731826915834557,10.0
KARE_STATUS,Korea KARE,regression,ElasticNet,0.7237946725166597,1.0
KARE_STATUS,Korea KARE,regression,LLSS,0.7341829059290571,11.0
KARE_STATUS,Korea KARE,regression,Lasso,0.7252215621104336,2.0
KARE_STATUS,Korea KARE,regression,LongGroupLasso,0.7262841732971995,3.0
KARE_STATUS,Korea KARE,regression,MutualInfo,0.7424263247684963,12.0
KARE_STATUS,Korea KARE,regression,OutcomeSNN-FS,0.7286898516771864,6.0
KARE_STATUS,Korea KARE,regression,RandomForest,0.7311938355912101,9.0
KARE_STATUS,Korea KARE,regression,SNN-FS,0.7267263102331083,4.0
KARE_STATUS,Korea KARE,regression,StabilitySelection,0.7275209319931993,5.0
KARE_STATUS,Korea KARE,regression,Stabl-RP,0.7309753665529845,8.0
KARE_STATUS,Korea KARE,regression,geeVerse,0.7424693187873858,13.0
KARE_STATUS,Korea KARE,regression,mRMR,0.7298497216903047,7.0
OLINK_COVID,Olink COVID,classification,Boruta,0.8457386363636364,5.0
OLINK_COVID,Olink COVID,classification,ElasticNet,0.7297727272727272,11.0
OLINK_COVID,Olink COVID,classification,LLSS,0.8873863636363636,1.0
OLINK_COVID,Olink COVID,classification,Lasso,0.7036363636363636,12.0
OLINK_COVID,Olink COVID,classification,LongGroupLasso,0.8430681818181819,6.0
OLINK_COVID,Olink COVID,classification,MutualInfo,0.8692045454545455,2.0
OLINK_COVID,Olink COVID,classification,OutcomeSNN-FS,0.7849431818181819,8.0
OLINK_COVID,Olink COVID,classification,RandomForest,0.8525568181818182,4.0
OLINK_COVID,Olink COVID,classification,SNN-FS,0.7832386363636364,9.0
OLINK_COVID,Olink COVID,classification,StabilitySelection,0.7376704545454545,10.0
OLINK_COVID,Olink COVID,classification,Stabl-RP,0.855,3.0
OLINK_COVID,Olink COVID,classification,mRMR,0.8178977272727272,7.0
PE,Stanford PE,classification,Boruta,0.7665432098765431,9.0
PE,Stanford PE,classification,ElasticNet,0.792283950617284,4.0
PE,Stanford PE,classification,LLSS,0.7837654320987655,5.0
PE,Stanford PE,classification,Lasso,0.8026543209876543,3.0
PE,Stanford PE,classification,LongGroupLasso,0.8126543209876543,1.0
PE,Stanford PE,classification,MutualInfo,0.7162345679012345,12.0
PE,Stanford PE,classification,OutcomeSNN-FS,0.7539506172839506,10.0
PE,Stanford PE,classification,RandomForest,0.7778395061728395,7.0
PE,Stanford PE,classification,SNN-FS,0.8124691358024692,2.0
PE,Stanford PE,classification,StabilitySelection,0.7700617283950618,8.0
PE,Stanford PE,classification,Stabl-RP,0.7350617283950618,11.0
PE,Stanford PE,classification,mRMR,0.7787654320987655,6.0
PE_LOPE_MATCHED,Stanford PE,classification,Boruta,0.6376923076923078,9.0
PE_LOPE_MATCHED,Stanford PE,classification,ElasticNet,0.645042735042735,6.0
PE_LOPE_MATCHED,Stanford PE,classification,LLSS,0.7112820512820512,1.0
PE_LOPE_MATCHED,Stanford PE,classification,Lasso,0.6581196581196582,4.0
PE_LOPE_MATCHED,Stanford PE,classification,LongGroupLasso,0.7067521367521369,2.0
PE_LOPE_MATCHED,Stanford PE,classification,MutualInfo,0.6245299145299146,11.0
PE_LOPE_MATCHED,Stanford PE,classification,OutcomeSNN-FS,0.5998290598290599,12.0
PE_LOPE_MATCHED,Stanford PE,classification,RandomForest,0.6432478632478633,7.0
PE_LOPE_MATCHED,Stanford PE,classification,SNN-FS,0.6403418803418803,8.0
PE_LOPE_MATCHED,Stanford PE,classification,StabilitySelection,0.6505128205128206,5.0
PE_LOPE_MATCHED,Stanford PE,classification,Stabl-RP,0.6287179487179487,10.0
PE_LOPE_MATCHED,Stanford PE,classification,mRMR,0.7043589743589743,3.0
TRA,Korea COVID-19,regression,Boruta,1.0588382136768062,7.0
TRA,Korea COVID-19,regression,ElasticNet,1.0816057345581171,13.0
TRA,Korea COVID-19,regression,LLSS,1.0499597120367286,3.0
TRA,Korea COVID-19,regression,Lasso,1.073373416827962,12.0
TRA,Korea COVID-19,regression,LongGroupLasso,1.049551013692132,2.0
TRA,Korea COVID-19,regression,MutualInfo,1.07078400750574,10.0
TRA,Korea COVID-19,regression,OutcomeSNN-FS,1.066795484076951,8.0
TRA,Korea COVID-19,regression,RandomForest,1.056879132850358,5.0
TRA,Korea COVID-19,regression,SNN-FS,1.0710755742203117,11.0
TRA,Korea COVID-19,regression,StabilitySelection,1.069834010683479,9.0
TRA,Korea COVID-19,regression,Stabl-RP,1.0459950706331598,1.0
TRA,Korea COVID-19,regression,geeVerse,1.0580267823539062,6.0
TRA,Korea COVID-19,regression,mRMR,1.0506445292923876,4.0
TRB,Korea COVID-19,regression,Boruta,1.207827926404622,6.0
TRB,Korea COVID-19,regression,ElasticNet,1.2349610849370065,13.0
TRB,Korea COVID-19,regression,LLSS,1.2066045228699505,4.0
TRB,Korea COVID-19,regression,Lasso,1.2296833453047817,12.0
TRB,Korea COVID-19,regression,LongGroupLasso,1.2076576448644718,5.0
TRB,Korea COVID-19,regression,MutualInfo,1.213732822188961,9.0
TRB,Korea COVID-19,regression,OutcomeSNN-FS,1.2114922921409805,8.0
TRB,Korea COVID-19,regression,RandomForest,1.2054409207934074,3.0
TRB,Korea COVID-19,regression,SNN-FS,1.2230961747497373,11.0
TRB,Korea COVID-19,regression,StabilitySelection,1.2172574473178324,10.0
TRB,Korea COVID-19,regression,Stabl-RP,1.200453962408152,1.0
TRB,Korea COVID-19,regression,geeVerse,1.2106911275272139,7.0
TRB,Korea COVID-19,regression,mRMR,1.202873223049693,2.0
