Dataset,Task,Metric,BaselineMean,ProposedMean,AbsoluteImprovement,RelativeImprovementPct,PairedTTestPValue
FPG,regression,RMSE,27.734178342262584,27.626019962381964,0.10815837988061858,0.3899822758253559,0.7109264489339366
IGG,regression,RMSE,0.7901257510577168,0.7736453348485697,0.01648041620914702,2.085796619979187,0.08470287474550196
IGM,regression,RMSE,1.0596223255347181,1.0677511172062062,-0.008128791671488167,-0.767140468410396,0.5569759281609333
PE,classification,AUROC,0.6204040404040404,0.7297474747474747,0.10934343434343437,17.624552263106484,0.0384134932608823
TRA,regression,RMSE,1.0256021329789502,1.045496378998868,-0.01989424601991774,-1.9397625434078591,0.03101516923871321
TRB,regression,RMSE,1.1877079183811892,1.2101754079281744,-0.022467489546985096,-1.8916679091950168,0.33188885983540256
